,Tow_From_Address,tow_lat,tow_lon,count
1,1000 MAIN ST,41.76903864,-72.67278346,180
2,200 BLOOMFIELD AV,41.80061563,-72.71742527,157
3,100 WESTON ST,41.78815521,-72.66197661,144
4,967 ASYLUM AV,41.77091613,-72.69727721,140
5,105 SHERBROOKE AV,41.7399798,-72.69867201,116
6,265 WASHINGTON ST,41.75418294,-72.68316784,99
7,200 PEARL ST,41.76649415,-72.67707545,97
8,253 HIGH ST,41.77243545,-72.67803544,93
9,2995 MAIN ST,41.79342742,-72.66695165,91
10,1429 PARK ST,41.75738871,-72.70231303,80
11,210 FARMINGTON AV,41.76831852,-72.69471357,79
12,887 ASYLUM AV,41.7702497,-72.69461177,69
13,311 COLLINS ST,41.77372625,-72.69632566,68
14,57 SUMNER ST,41.77127758,-72.69017948,65
15,48 FOREST ST,41.7649052,-72.70008873,59
16,MARKET ST & MORGAN ST,41.76937826,-72.67089417,59
17,90 WESTON ST,41.78723363,-72.66306852,53
18,3281 MAIN ST,41.79611926,-72.66360433,52
19,809 ASYLUM AV,41.76925225,-72.69162491,52
20,25 LAUREL ST,41.75976657,-72.697202,51
21,495 FLATBUSH AV,41.74006747,-72.71419229,51
22,682 WETHERSFIELD AV,41.73739913,-72.67087823,51
23,89 WESTON ST,41.78682138,-72.66408426,51
24,86 WEBSTER ST,41.74585165,-72.68285599,49
25,41 NILES ST,41.76862471,-72.69629931,48
26,820 WETHERSFIELD AV,41.73369381,-72.66956474,48
27,31 GILLETT ST,41.76906337,-72.70025275,45
28,WESTON ST & JENNINGS RD,41.78894037,-72.66221701,44
29,2101 PARK ST,41.75596065,-72.71383621,43
30,45 WEBSTER ST,41.74472137,-72.68328693,43
31,600 ASYLUM AV,41.76853803,-72.68447497,43
32,50 GILLETT ST,41.76945819,-72.69956604,42
33,98 GARDEN ST,41.77063232,-72.68550173,42
34,1200 PARK ST,41.75900184,-72.69908625,40
35,28 TOWNLEY ST,41.77224546,-72.69620964,39
36,426 PARK ST,41.7580947,-72.6838292,39
37,60 MAIN ST,41.75618353,-72.675003,38
38,330 LAUREL ST,41.7682143,-72.69712791,37
39,338 ASYLUM ST,41.76774805,-72.67922072,37
40,16 OWEN ST,41.7664041,-72.70468948,36
41,198 SIGOURNEY ST,41.7724824,-72.69283468,36
42,3030 MAIN ST,41.79312046,-72.665704,36
43,3324 MAIN ST,41.79675383,-72.66271585,36
44,777 MAIN ST,41.76595322,-72.67367951,36
45,194 WASHINGTON ST,41.75664597,-72.68218384,35
46,708 WETHERSFIELD AV,41.73664778,-72.67086326,35
47,63 HUNTINGTON ST,41.77232718,-72.69151806,34
48,80 WESTON ST,41.78595147,-72.66344536,34
49,141 WOODLAND ST,41.77731813,-72.70068551,33
50,29 LAFAYETTE ST,41.75878425,-72.68372407,33
51,ALBANY AV & MAIN ST,41.77334774,-72.67705059,33
52,169 SIGOURNEY ST,41.77117359,-72.69365544,32
53,22 ELLIOTT ST,41.74640917,-72.67440772,32
54,34 WILLARD ST,41.77198683,-72.69472866,32
55,416 FRANKLIN AV,41.73828923,-72.67521254,32
56,550 FARMINGTON AV,41.7664952,-72.71062173,32
57,101 BENTON ST,41.74676857,-72.67854997,31
58,510 FARMINGTON AV,41.76667351,-72.70910654,31
59,1450 MAIN ST,41.77526612,-72.67570273,30
60,1 MARKET ST,41.76595634,-72.67159832,29
61,34 VERNON ST,41.75146858,-72.68593872,29
62,37 HUNTINGTON ST,41.77166742,-72.69166943,29
63,50 JENNINGS RD,41.78570703,-72.65242139,29
64,ASYLUM AV & WOODLAND ST,41.77238419,-72.70067054,29
65,BROAD ST & CAPITOL AV,41.76366282,-72.68666123,29
66,134 AFFLECK ST,41.75594968,-72.68916712,28
67,166 COLLINS ST,41.77296754,-72.69019401,28
68,205 SIGOURNEY ST,41.77289504,-72.69314317,28
69,217 WETHERSFIELD AV,41.74979521,-72.67412888,28
70,90 BRAINARD RD,41.73824315,-72.65946784,28
71,200 SIGOURNEY ST,41.7726453,-72.69278985,27
72,224 FARMINGTON AV,41.76778501,-72.69549319,27
73,84 FOREST ST,41.76739664,-72.69963997,27
74,280 COLLINS ST,41.77379701,-72.69519515,26
75,44 FOREST ST,41.7646466,-72.70007684,26
76,519 FARMINGTON AV,41.76609941,-72.70903267,26
77,70 GILLETT ST,41.77007505,-72.6992462,26
78,903 ASYLUM AV,41.77036816,-72.69481619,26
79,AIRPORT RD & WETHERSFIELD AV,41.73767876,-72.67123044,26
80,ASYLUM AV & BROAD ST,41.76850508,-72.68605646,26
81,128 COLLINS ST,41.77263628,-72.68806148,25
82,152 COLLINS ST,41.77292381,-72.68927144,25
83,170 SIGOURNEY ST,41.77099552,-72.69288618,25
84,195 SIGOURNEY ST,41.77247037,-72.69327093,25
85,235 COLLINS ST,41.77313025,-72.69325309,25
86,40 OWEN ST,41.76584712,-72.70461348,25
87,77 EVERGREEN AV,41.76363529,-72.70941544,25
88,COLLINS ST & SIGOURNEY ST,41.77321538,-72.69284209,25
89,1755 PARK ST,41.7568905,-72.70718649,24
90,30 TOWNLEY ST,41.77227471,-72.69638008,24
91,57 WEST SERVICE RD,41.78504197,-72.66100076,24
92,AIRPORT RD & LOCUST ST,41.73835905,-72.66637683,24
93,CAPEN ST & GARDEN ST,41.78604665,-72.68282139,24
94,MAIN ST & MORGAN ST,41.77005034,-72.67360026,24
95,12 WILLARD ST,41.77143383,-72.69479523,23
96,69 GILLETT ST,41.77011671,-72.69983804,23
97,76 WEBSTER ST,41.74557087,-72.68283177,23
98,1 WESTON PARK RD,41.78204574,-72.66701334,22
99,112 SOUTH WHITNEY ST,41.76059595,-72.70925695,22
100,171 SIGOURNEY ST,41.77123278,-72.6936363,22
101,175 NEW BRITAIN AV,41.7441138,-72.68834105,22
102,611 MAPLE AV,41.7439538,-72.68254807,22
103,924 WETHERSFIELD AV,41.73075483,-72.6692963,22
104,PARK ST & PARK TER,41.75820514,-72.69399322,22
105,114 HUYSHOPE AV,41.75607342,-72.6647077,21
106,125 WESTON ST,41.78973534,-72.66258063,21
107,16 NILES ST,41.76950215,-72.69469746,21
108,185 SIGOURNEY ST,41.77198013,-72.69343131,21
109,350 WETHERSFIELD AV,41.74630637,-72.67299018,21
110,915 MAIN ST,41.76775612,-72.67331824,21
111,HOMESTEAD AV & WOODLAND ST,41.77868983,-72.69776621,21
112,1021 ASYLUM AV,41.77141739,-72.69853602,20
113,197 COLLINS ST,41.77284091,-72.6915845,20
114,60 WADSWORTH ST,41.75904174,-72.67915722,20
115,7 MAY ST,41.77375651,-72.69440443,20
116,ALBANY AV & VINE ST,41.77906351,-72.68876306,20
117,BLUE HILLS AV & WESTBOURNE PKWY,41.78729344,-72.69848657,20
118,CAPITOL AV & LAUREL ST,41.76249225,-72.69703527,20
119,MAIN ST & MAPLE AV,41.75539429,-72.67640569,20
120,MAIN ST & WINDSOR ST,41.7920862,-72.66870503,20
121,145 SISSON AV,41.76221293,-72.70698918,19
122,1888 MAIN ST,41.78019911,-72.67588089,19
123,250 MAIN ST,41.75898971,-72.67502372,19
124,28 HUNTINGTON ST,41.77101837,-72.69143533,19
125,30 EVERGREEN AV,41.76539867,-72.70900306,19
126,34 FOREST ST,41.76420183,-72.70012721,19
127,357 GARDEN ST,41.77871813,-72.68546815,19
128,51 IMLAY ST,41.76632203,-72.6957556,19
129,911 ASYLUM AV,41.77032736,-72.69511326,19
130,COVENTRY ST & TOWER AV,41.80082984,-72.6900983,19
131,MAHL AV & MAIN ST,41.78142446,-72.67612721,19
132,PARK TER & RUSS ST,41.76206575,-72.69293337,19
133,100 BENTON ST,41.74707321,-72.67885243,18
134,148 COLLINS ST,41.77288486,-72.68910292,18
135,17 NILES ST,41.76931367,-72.69550445,18
136,27 MARSHALL ST,41.76985896,-72.69849672,18
137,381 GARDEN ST,41.77953949,-72.68521043,18
138,51 PUTNAM ST,41.75776426,-72.69067868,18
139,61 WILLARD ST,41.77294526,-72.69517681,18
140,CHURCH ST & TRUMBULL ST,41.76882689,-72.67551496,18
141,1137 ALBANY AV,41.78172801,-72.69567922,17
142,175 SIGOURNEY ST,41.77151555,-72.69354052,17
143,3580 MAIN ST,41.79985174,-72.66127898,17
144,603 FARMINGTON AV,41.76576234,-72.71295911,17
145,75 SUMNER ST,41.77193726,-72.68988302,17
146,813 MAPLE AV,41.73759063,-72.68581128,17
147,GARDEN ST & HOMESTEAD AV,41.77509281,-72.68650692,17
148,PARK ST & ZION ST,41.75816173,-72.69192549,17
149,1 CONGRESS ST,41.75525061,-72.67631686,16
150,100 PEARL ST,41.76623496,-72.6748135,16
151,173 ASHLEY ST,41.77486476,-72.69471219,16
152,20 JENNINGS RD,41.78679893,-72.65465713,16
153,2027 PARK ST,41.75589111,-72.71280376,16
154,22 MORRIS ST,41.75291151,-72.6753131,16
155,299 WASHINGTON ST,41.75298495,-72.68321888,16
156,30 GILLETT ST,41.7687825,-72.69977254,16
157,305 WASHINGTON ST,41.75281807,-72.68321356,16
158,393 BARBOUR ST,41.79602413,-72.67672305,16
159,40 HUNTINGTON ST,41.77157429,-72.69130561,16
160,610 FARMINGTON AV,41.7661903,-72.71335306,16
161,690 ALBANY AV,41.77897705,-72.68801269,16
162,76 BRAINARD RD,41.73861373,-72.6594959,16
163,9 OWEN ST,41.76660319,-72.70506059,16
164,AIRPORT RD & LEDYARD ST,41.73803538,-72.66859243,16
165,BROOKFIELD ST & FLATBUSH AV,41.74294224,-72.70935807,16
166,BROWN ST & CAMPFIELD AV,41.73600718,-72.68145915,16
167,HAMILTON ST & HILLSIDE AV,41.75289886,-72.69753419,16
168,HAWTHORN ST & SIGOURNEY ST,41.76509659,-72.69394738,16
169,KENSINGTON ST & MAIN ST,41.79135166,-72.66966122,16
170,PUTNAM ST & RUSS ST,41.7616258,-72.69047717,16
171,1 UNION PL,41.76888107,-72.68159008,15
172,129 WESTON ST,41.79007588,-72.66200194,15
173,2 PARK PL,41.75945883,-72.69624813,15
174,206 COLLINS ST,41.77354696,-72.69175136,15
175,212 LAUREL ST,41.76491097,-72.69685713,15
176,2505 MAIN ST,41.78848938,-72.67279933,15
177,252 LAUREL ST,41.76614368,-72.696938,15
178,26 CONGRESS ST,41.7544566,-72.67597851,15
179,37 ALDEN ST,41.7511184,-72.67600317,15
180,399 ZION ST,41.75228256,-72.69379324,15
181,416 FARMINGTON AV,41.76727486,-72.70461647,15
182,47 SUMNER ST,41.77093675,-72.69068318,15
183,820 PARK ST,41.7583184,-72.69084627,15
184,85 GILLETT ST,41.77117352,-72.6994247,15
185,ALBANY AV & HOMESTEAD AV,41.78430228,-72.70301744,15
186,GARDEN ST & MATHER ST,41.7803178,-72.68475331,15
187,100 HENDRICXSEN AV,41.7524649,-72.66350464,14
188,100 LAUREL ST,41.7621387,-72.69479934,14
189,1000 MAPLE AV,41.73180555,-72.68849049,14
190,137 EVERGREEN AV,41.76175593,-72.70865353,14
