,Tow_Firm,Tow_Firm_Address,Tow_Firm_Phone,lon,lat
6,FRIENDLY AUTO BODY & TOWING," 99 MEADOW ST.  HARTFORD, CT. 06114",860-296-8588,-72.668334,41.7439152
14,MODERN GARAGE," 100A,AIRPORT RD,HARTFORD,CT,06114",860-296-9663,-72.6668143,41.7387052
16,RENO'S AUTO BODY," 525 FRANKLIN AV. HARTFORD, CT 06114",860-296-1518,-72.6749019,41.7345264
17,WHITEY'S FRAME SHOP," 305 WEST SERVICE RD. HARTFORD, CT 06120",860-246-6871,-72.6561195,41.8002504
18,CENTRAL GARAGE," 36 BOND ST. HARTFORD,CT 06114",860-296-1426,-72.6747735,41.7446382
19,A & N AUTO," 1516,PARK ST,HARTFORD,CT,06106",860-233-7079,-72.7034853,41.7578644
20,BENTON AUTO BODY," 155 FRANKLIN AV. HARTFORD, CT 06114",860-246-7771,-72.6773937,41.7470058
21,CAPITOL TOWING," 181-211 WALNUT ST. HARTFORD, CT. 06120",860-293-2442,-72.6852299,41.7743917
25,"CENTRAL AUTO & TRANSPORT, LLC"," 195 MAXIM RD. HARTFORD, CT 06114",860-246-7616,-72.6528518,41.7442533
26,"CORONA'S AUTO PARTS,INC.", 608 WETHERSFIELD AV. HARTFORD CT. 06114,860-296-5382,-72.6698912,41.7395809
32,METRO AUTOBODY & TOWING INC, 722 WETHERSFIELD AV  HARTFORD CT 06114,860-947-3062,-72.6700796,41.736613
57,D & L TOWING, 181 PANE RD. NEWINGTON CT. 06111,860-677-7771,-72.7329368,41.655066
76,CAPITOL AUTOMOTIVE LLC," 971 CAPITOL AV. HARTFORD,CT 06106",860-236-2602,-72.7092729,41.7603968
744,INTERNATIONAL TOWING COMPANY," 16,SOUTH ST,WEST HARTFORD,CT,99999",860-953-1675,-72.7232677,41.729382
1047,CROSS COUNTRY TOWING," 100 AIRPORT RD. HARTFORD, CT. 06114",860-296-2826,-72.6668143,41.7387052
6407,ELMWOOD AUTOMOTIVE,"55,TALCOTT ROAD,WEST HARTFORD,CT,99999",860-949-4444,-72.723448,41.7367459
7321,AUTO LOCK,"P.O. BOX 958 MANCHESTER, CT.",860-282-0065,-72.5215009,41.7759301
8522,FOUR ACES,"20,GILBERT AVE,BLOOMFIELD,CT,06002",860-335-8325,-72.6937331,41.8081225
11255,A & M TOWING,"430 TOLLAND ST. EAST HARTFORD, CT 06108",860-289-8887,-72.6156482,41.781613
14813,CARON TOWING,"115 PARK AV. HARTFORD, CT",860-528-6549,-72.6308468,41.7794626
20203,MEDINA AUTO BODY,"100 AIRPORT RD. HARTFORD, CT 06114",860-296-2042,-72.6668143,41.7387052
